Var1	Var2	cor	abs	pvalue
Isobutyic_acid	g__Bacteroidales_F082	0.192512642	0.192512642	1.35E-05
Butyic_acid	g__Lachnospiraceae_AC2044_group	-0.191561781	0.191561781	1.41E-05
Isovaleic_acid	g__Bacteroidales_BS11_gut_group	0.19126009	0.19126009	1.48E-05
Valeic_acid	g__Moryella	0.191446982	0.191446982	2.02E-05
Isovaleic_acid	g__Lachnospiraceae_unclassified1	0.187886372	0.187886372	2.06E-05
Total_VFAs	g__Lachnospiraceae_UCG.008	-0.188256402	0.188256402	2.49E-05
Isobutyic_acid	g__Candidatus_Saccharimonas	-0.185148673	0.185148673	2.88E-05
Isovaleic_acid	g__Lachnospiraceae_UCG.008	0.186760148	0.186760148	2.90E-05
Isovaleic_acid	g__probable_genus_10	0.18473361	0.18473361	3.18E-05
Isovaleic_acid	g__Oscillospiraceae_V9D2013_group	0.185245963	0.185245963	3.25E-05
Butyic_acid	g__Lachnospiraceae_FCS020_group	-0.18506171	0.18506171	3.31E-05
Butyic_acid	g__Oscillospiraceae_UCG.005	-0.183244037	0.183244037	3.31E-05
Total_VFAs	g__Bacteroidales_UCG.001	-0.182243786	0.182243786	3.66E-05
Acetic_Popionic_ratio	g__Clostridia_UCG.014	-0.181845186	0.181845186	3.81E-05
Acetic_acid	g__Oscillospiraceae_V9D2013_group	0.183246304	0.183246304	3.96E-05
Total_VFAs	g__Sphaerochaeta	0.186169615	0.186169615	5.47E-05
Total_VFAs	g__.Eubacterium._ruminantium_group	0.178924446	0.178924446	5.94E-05
Popionic_acid	g__Clostridia_UCG.014	0.17641143	0.17641143	6.50E-05
Valeic_acid	g__Fibrobacter	-0.179489608	0.179489608	6.80E-05
Butyic_acid	g__Oscillospirales_UCG.010	-0.174975601	0.174975601	7.47E-05
Total_VFAs	g__Lachnospiraceae_FCS020_group	-0.173940913	0.173940913	9.71E-05
Isovaleic_acid	g__Muribaculaceae	0.17233664	0.17233664	9.93E-05
Butyic_acid	g__Clostridia_UCG.014	0.171664314	0.171664314	0.000102482
Total_VFAs	g__Bacteroidales_RF16_group	0.170157769	0.170157769	0.000118099
Valeic_acid	g__Colidextribacter	0.176117569	0.176117569	0.000128251
Butyic_acid	g__Bacteroidales_BS11_gut_group	-0.168685544	0.168685544	0.000137592
Isobutyic_acid	g__Oscillospiraceae_unclassified2	0.172525596	0.172525596	0.000143251
Isobutyic_acid	g__Rikenellaceae_U29.B03	0.169483417	0.169483417	0.000161127
Total_VFAs	g__Candidatus_Saccharimonas	0.166544689	0.166544689	0.000172721
Valeic_acid	g__Lachnospiraceae_NK4A136_group	-0.167941481	0.167941481	0.000176908
Total_VFAs	g__Bacteroidales_unclassified	0.166336641	0.166336641	0.000189669
Isobutyic_acid	g__Lachnospiraceae_NK4A136_group	0.166332001	0.166332001	0.000204455
Acetic_acid	g__Moryella	-0.16570402	0.16570402	0.0002329
Isobutyic_acid	g__Oscillospiraceae_V9D2013_group	0.164043543	0.164043543	0.000239902
Isobutyic_acid	g__Rikenellaceae_RC9_gut_group	0.161599147	0.161599147	0.000258454
Isobutyic_acid	g__.Eubacterium._ventriosum_group	-0.165605446	0.165605446	0.000272482
Acetic_acid	g__Bacteroidales_F082	0.161099609	0.161099609	0.00028184
Isovaleic_acid	g__Oscillospiraceae_unclassified2	0.163498542	0.163498542	0.000317323
Acetic_Popionic_ratio	g__.Eubacterium._ruminantium_group	-0.160659079	0.160659079	0.000318641
Popionic_acid	g__.Eubacterium._ruminantium_group	0.16063172	0.16063172	0.000319403
Isovaleic_acid	g__Rikenellaceae_U29.B03	0.161734884	0.161734884	0.000320194
Isovaleic_acid	g__Rikenellaceae_RC9_gut_group	0.15903982	0.15903982	0.00032425
Total_VFAs	g__Bacteroidales_BS11_gut_group	-0.158655849	0.158655849	0.000339975
Butyic_acid	g__Absconditabacteriales_.SR1.	-0.158939944	0.158939944	0.000345498
Total_VFAs	g__Anaerovorax	-0.157859556	0.157859556	0.000359589
Acetic_Popionic_ratio	g__Anaeroplasma	-0.175206983	0.175206983	0.000364621
Isobutyic_acid	g__Veillonellaceae_UCG.001	0.159807432	0.159807432	0.000372866
Popionic_acid	g__Anaeroplasma	0.174773338	0.174773338	0.000377277
Isobutyic_acid	g__Bacteroidales_RF16_group	-0.156757558	0.156757558	0.000395796
Total_VFAs	g__Ruminiclostridium	-0.156612666	0.156612666	0.000406165
Isovaleic_acid	g__Marinifilaceae_unclassified	0.169906743	0.169906743	0.000441667
Acetic_acid	g__Oscillospirales_UCG.010	0.155076477	0.155076477	0.000457624
Valeic_acid	g__Oscillospiraceae_NK4A214_group	0.154426724	0.154426724	0.000483842
Total_VFAs	g__Oscillospirales_UCG.011	-0.156268744	0.156268744	0.00050369
Acetic_acid	g__Papillibacter	0.153027589	0.153027589	0.00054511
Total_VFAs	g__Prevotellaceae_UCG.003	0.152648823	0.152648823	0.000562894
Butyic_acid	g__probable_genus_10	-0.152884095	0.152884095	0.000595474
Total_VFAs	g__Saccharofermentans	-0.151670441	0.151670441	0.000611357
Isobutyic_acid	g__Muribaculaceae	0.151935437	0.151935437	0.000613055
Valeic_acid	g__Bacteroidales_UCG.001	-0.150714112	0.150714112	0.000662443
Acetic_acid	g__Clostridia_UCG.014	-0.150262374	0.150262374	0.000687926
Butyic_acid	g__Ruminiclostridium	-0.150031518	0.150031518	0.00070994
Butyic_acid	g__Lachnospiraceae_ND3007_group	0.152775502	0.152775502	0.000736318
Isovaleic_acid	g__Clostridia_UCG.014	-0.149389099	0.149389099	0.000739782
Isovaleic_acid	g__Butyrivibrio	0.15137509	0.15137509	0.000765132
Valeic_acid	g__Prevotellaceae_UCG.004	-0.149309016	0.149309016	0.000772337
Isovaleic_acid	g__Veillonellaceae_UCG.001	0.150352021	0.150352021	0.000821276
Isovaleic_acid	g__Lachnospiraceae_AC2044_group	0.147877812	0.147877812	0.000838159
Isovaleic_acid	g__Oscillospirales_unclassified1	0.16152806	0.16152806	0.000905556
Total_VFAs	g__Bacteroidetes_BD2.2	-0.167882326	0.167882326	0.00098813
Acetic_Popionic_ratio	g__Bacteroidetes_BD2.2	0.166371641	0.166371641	0.001099199
Isobutyic_acid	g__Ruminococcus	-0.14315192	0.14315192	0.001229237
Isobutyic_acid	g__Acetitomaculum	-0.14899705	0.14899705	0.001256256
Popionic_acid	g__Christensenellaceae_R.7_group	-0.141786347	0.141786347	0.001370181
Butyic_acid	g__Bacteroidetes_BD2.2	-0.162239746	0.162239746	0.00146434
Isobutyic_acid	g__.Ruminococcus._gauvreauii_group	-0.155381945	0.155381945	0.001477968
Isovaleic_acid	g__Bacteroidetes_BD2.2	0.161546129	0.161546129	0.001535576
Valeic_acid	g__Bacteroidales_BS11_gut_group	-0.140438878	0.140438878	0.001540253
Acetic_Popionic_ratio	g__Oscillospirales_UCG.011	0.141974443	0.141974443	0.001593238
Acetic_acid	g__Oscillospirales_UCG.011	0.14013285	0.14013285	0.001834603
Acetic_Popionic_ratio	g__Christensenellaceae_R.7_group	0.136715764	0.136715764	0.002033587
Total_VFAs	g__Lachnospiraceae_UCG.006	-0.146088223	0.146088223	0.002175805
Isobutyic_acid	g__Bacteroidales_p.251.o5	0.135512011	0.135512011	0.002274767
Acetic_acid	g__Bacteroidetes_BD2.2	0.155524664	0.155524664	0.002301333
Isovaleic_acid	g__Anaeroplasma	-0.149973837	0.149973837	0.002329086
Popionic_acid	g__Bacteroidetes_BD2.2	-0.15421622	0.15421622	0.002508199
Valeic_acid	g__Christensenellaceae_R.7_group	0.133702299	0.133702299	0.00255582
Isovaleic_acid	g__Absconditabacteriales_.SR1.	0.134195598	0.134195598	0.002562536
Total_VFAs	g__Christensenellaceae_R.7_group	-0.133299639	0.133299639	0.002634181
Valeic_acid	g__.Ruminococcus._gauvreauii_group	0.146947876	0.146947876	0.002660458
Popionic_acid	g__Prevotellaceae_unclassified	0.136905589	0.136905589	0.002676432
Valeic_acid	g__Rikenellaceae_RC9_gut_group	-0.132542522	0.132542522	0.002787478
Isovaleic_acid	g__.Eubacterium._ventriosum_group	-0.136122985	0.136122985	0.002832817
Isobutyic_acid	g__Oscillospiraceae_UCG.002	0.13215433	0.13215433	0.00292511
Acetic_acid	g__.Eubacterium._ventriosum_group	-0.134625902	0.134625902	0.003155352
Acetic_acid	g__Prevotella	-0.130299393	0.130299393	0.00329055
Acetic_acid	g__Lachnospiraceae_UCG.006	0.139760417	0.139760417	0.003378637
Butyic_acid	g__Marinilabiliaceae_unclassified	-0.132376536	0.132376536	0.003631672
Popionic_acid	g__Oscillospirales_UCG.011	-0.130435213	0.130435213	0.003752816
Valeic_acid	g__Absconditabacteriales_.SR1.	-0.127672697	0.127672697	0.004130475
Isovaleic_acid	g__Ruminococcaceae_unclassified1	0.126901551	0.126901551	0.004210767
Total_VFAs	g__Marinilabiliaceae_unclassified	-0.129858873	0.129858873	0.004334877
Acetic_Popionic_ratio	g__Marinifilaceae_unclassified	0.13798737	0.13798737	0.004419236
Acetic_acid	g__Anaeroplasma	-0.13972848	0.13972848	0.004588797
Valeic_acid	g__Sphaerochaeta	-0.130398379	0.130398379	0.004903407
Acetic_acid	g__Rikenellaceae_RC9_gut_group	0.123961525	0.123961525	0.005188397
Isovaleic_acid	g__Monoglobus	0.13418892	0.13418892	0.005212032
Valeic_acid	g__Marinifilaceae_unclassified	-0.135131981	0.135131981	0.005317911
Isovaleic_acid	g__Christensenellaceae_R.7_group	0.123029735	0.123029735	0.005538422
Acetic_Popionic_ratio	g__.Eubacterium._coprostanoligenes_group	0.122978361	0.122978361	0.005558325
Valeic_acid	g__Oscillospiraceae_UCG.005	0.122073866	0.122073866	0.005919432
Valeic_acid	g__Pseudobutyrivibrio	-0.121495814	0.121495814	0.006212205
Acetic_Popionic_ratio	g__Lachnospiraceae_FCS020_group	0.122575688	0.122575688	0.006217509
Total_VFAs	g__Family_XIII_AD3011_group	-0.124002832	0.124002832	0.006303561
Isovaleic_acid	g__Bacteroidales_p.251.o5	0.120963909	0.120963909	0.006496873
Acetic_Popionic_ratio	g__Prevotellaceae_unclassified	-0.123684788	0.123684788	0.006721931
Popionic_acid	g__Marinifilaceae_unclassified	-0.131434592	0.131434592	0.006724655
Isovaleic_acid	g__Ruminococcus	-0.120148823	0.120148823	0.006759004
Butyic_acid	g__Marinifilaceae_unclassified	-0.131148857	0.131148857	0.006846135
Acetic_acid	g__.Eubacterium._ruminantium_group	-0.120462847	0.120462847	0.007117631
Popionic_acid	g__.Eubacterium._coprostanoligenes_group	-0.119074403	0.119074403	0.007272632
Valeic_acid	g__Prevotellaceae_UCG.003	-0.118926939	0.118926939	0.007345788
Isovaleic_acid	g__.Ruminococcus._gauvreauii_group	-0.131154874	0.131154874	0.007393606
Total_VFAs	g__Ruminococcaceae_unclassified1	-0.118782698	0.118782698	0.007417981
Butyic_acid	g__Pseudobutyrivibrio	-0.118472604	0.118472604	0.007635295
Butyic_acid	g__Bacteroidales_RF16_group	0.117512058	0.117512058	0.008081864
Isovaleic_acid	g__Oribacterium	0.128967166	0.128967166	0.008691776
Butyic_acid	g__Oscillospiraceae_NK4A214_group	0.11599833	0.11599833	0.008941611
Popionic_acid	g__Lachnospiraceae_FCS020_group	-0.117051719	0.117051719	0.009003915
Isovaleic_acid	g__Pseudobutyrivibrio	0.115846296	0.115846296	0.009100912
Acetic_acid	g__Lachnospiraceae_FCS020_group	0.116461704	0.116461704	0.009359136
Butyic_acid	g__Anaerovorax	-0.115246922	0.115246922	0.009397904
Valeic_acid	g__Bacteroidales_unclassified	-0.115837276	0.115837276	0.009601977
Isobutyic_acid	g__Ruminococcaceae_unclassified1	0.114626634	0.114626634	0.009790056
Acetic_acid	g__Ruminococcaceae_CAG.352	0.114627638	0.114627638	0.010311726
Total_VFAs	g__Rikenellaceae_RC9_gut_group	-0.113311244	0.113311244	0.010670101
Acetic_acid	g__Oscillospiraceae_UCG.002	-0.112599826	0.112599826	0.011336442
Valeic_acid	g__Lachnospiraceae_UCG.008	0.112218428	0.112218428	0.01247955
Valeic_acid	g__Lachnospiraceae_XPB1014_group	0.112518525	0.112518525	0.012602238
Isobutyic_acid	g__Anaeroplasma	-0.122966404	0.122966404	0.012711863
Acetic_acid	g__Marinifilaceae_unclassified	0.120720412	0.120720412	0.012862611
Butyic_acid	g__Candidatus_Saccharimonas	0.110549209	0.110549209	0.013017987
Butyic_acid	g__Veillonellaceae_UCG.001	-0.111646614	0.111646614	0.013216046
Isobutyic_acid	g__Absconditabacteriales_.SR1.	0.110220116	0.110220116	0.013384575
Valeic_acid	g__Lachnospiraceae_FCS020_group	-0.110271042	0.110271042	0.013907562
Valeic_acid	g__Ruminococcus	0.109109694	0.109109694	0.013968811
Total_VFAs	g__Oscillospiraceae_unclassified2	-0.111607917	0.111607917	0.014323764
Popionic_acid	g__Lachnospiraceae_AC2044_group	0.108488393	0.108488393	0.014526067
Acetic_Popionic_ratio	g__Ruminococcaceae_unclassified1	0.108274269	0.108274269	0.014722597
Popionic_acid	g__Oscillospiraceae_unclassified2	-0.11108105	0.11108105	0.014793047
Acetic_acid	g__Ruminococcaceae_unclassified1	0.108013083	0.108013083	0.014965483
Popionic_acid	g__Lachnospiraceae_UCG.008	-0.109194556	0.109194556	0.01507571
Acetic_acid	g__Bacteroidales_UCG.001	0.107616776	0.107616776	0.015340745
Total_VFAs	g__Lachnospiraceae_NK4A136_group	-0.108946386	0.108946386	0.015412647
Acetic_Popionic_ratio	g__Lachnospiraceae_UCG.006	0.114801867	0.114801867	0.016229582
Butyic_acid	g__Lachnospiraceae_NK3A20_group	0.10685567	0.10685567	0.016403053
Butyic_acid	g__Oscillospirales_unclassified2	0.117776422	0.117776422	0.016639191
Isovaleic_acid	g__Lachnospiraceae_NK4A136_group	0.107608555	0.107608555	0.016728932
Isobutyic_acid	g__Erysipelatoclostridiaceae_UCG.004	-0.107328468	0.107328468	0.016904684
Isobutyic_acid	g__Prevotellaceae_UCG.004	0.106307708	0.106307708	0.01696594
Total_VFAs	g__Prevotellaceae_UCG.001	0.105830542	0.105830542	0.017136484
Popionic_acid	g__Alloprevotella	0.117536133	0.117536133	0.017407106
Total_VFAs	g__Rikenellaceae_U29.B03	-0.107032162	0.107032162	0.017670653
Popionic_acid	g__Anaerovorax	-0.104700967	0.104700967	0.0183647
Popionic_acid	g__Oscillospiraceae_NK4A214_group	-0.103299667	0.103299667	0.019994603
Isobutyic_acid	g__Pseudobutyrivibrio	0.103369709	0.103369709	0.020033138
Butyic_acid	g__Moryella	0.105103488	0.105103488	0.020088895
Acetic_Popionic_ratio	g__Alloprevotella	-0.11442729	0.11442729	0.020630795
Isobutyic_acid	g__Oscillospirales_unclassified1	0.112978875	0.112978875	0.020715953
Acetic_acid	g__.Eubacterium._coprostanoligenes_group	0.102590661	0.102590661	0.020866225
Total_VFAs	g__Prevotellaceae_UCG.004	0.102698247	0.102698247	0.021113694
Butyic_acid	g__Acetitomaculum	0.106277337	0.106277337	0.021758778
Acetic_Popionic_ratio	g__Oscillospiraceae_unclassified2	0.103482669	0.103482669	0.02322314
Total_VFAs	g__Clostridia_unclassified	-0.102171421	0.102171421	0.025496544
Isovaleic_acid	g__Acetitomaculum	-0.103229258	0.103229258	0.025854872
Total_VFAs	g__Oscillospiraceae_UCG.002	-0.098825839	0.098825839	0.026366552
Total_VFAs	g__Marinifilaceae_unclassified	-0.107260818	0.107260818	0.027210129
Butyic_acid	g__Lachnospiraceae_unclassified1	-0.097797232	0.097797232	0.027671504
Popionic_acid	g__Lachnospiraceae_unclassified2	0.09777223	0.09777223	0.027711491
Acetic_acid	g__Lachnospiraceae_NK4A136_group	0.098735863	0.098735863	0.028212483
Butyic_acid	g__Fibrobacter	-0.099368919	0.099368919	0.028330802
Butyic_acid	g__Bacteroidales_F082	-0.097657438	0.097657438	0.028364884
Acetic_Popionic_ratio	g__Lachnospiraceae_UCG.008	0.098513602	0.098513602	0.02840975
Acetic_Popionic_ratio	g__Lachnospiraceae_unclassified2	-0.097069352	0.097069352	0.028856168
Total_VFAs	g__Ruminococcus	0.095831856	0.095831856	0.030970246
Valeic_acid	g__Prevotellaceae_NK3B31_group	-0.096155473	0.096155473	0.03192262
Isobutyic_acid	g__Fibrobacter	0.097217141	0.097217141	0.031955633
Acetic_Popionic_ratio	g__Anaerovorax	0.095235927	0.095235927	0.032034714
Popionic_acid	g__Lachnospiraceae_ND3007_group	-0.096775426	0.096775426	0.03310878
Isovaleic_acid	g__Bacteroidales_RF16_group	-0.094097186	0.094097186	0.034155892
Acetic_Popionic_ratio	g__Oscillospiraceae_NK4A214_group	0.09408987	0.09408987	0.034169897
Total_VFAs	g__Prevotellaceae_unclassified	0.096713436	0.096713436	0.034335516
Acetic_acid	g__Clostridia_unclassified	0.096209596	0.096209596	0.035481196
Popionic_acid	g__Lachnospiraceae_UCG.006	-0.09935794	0.09935794	0.037653092
Popionic_acid	g__Ruminococcaceae_unclassified1	-0.092300869	0.092300869	0.0377449
Butyic_acid	g__Colidextribacter	0.096063681	0.096063681	0.037762423
Acetic_Popionic_ratio	g__.Eubacterium._ventriosum_group	-0.094469458	0.094469458	0.038754215
Acetic_acid	g__Christensenellaceae_R.7_group	0.091805025	0.091805025	0.038790183
Acetic_Popionic_ratio	g__Ruminococcaceae_CAG.352	0.091717292	0.091717292	0.040359496
Acetic_Popionic_ratio	g__Bacteroidales_UCG.001	0.089460015	0.089460015	0.044071798
Butyic_acid	g__Ruminococcus	0.089260016	0.089260016	0.044549012
Valeic_acid	g__Family_XIII_AD3011_group	0.090699219	0.090699219	0.046115409
Butyic_acid	g__Anaeroplasma	0.097897376	0.097897376	0.047593578
Popionic_acid	g__Prevotellaceae_UCG.003	0.087586118	0.087586118	0.048716058
Isovaleic_acid	g__Oscillospiraceae_UCG.002	0.087549182	0.087549182	0.04926111
Valeic_acid	g__Erysipelatoclostridiaceae_UCG.004	-0.088259165	0.088259165	0.049703231
Valeic_acid	g__Candidatus_Saccharimonas	0.087398625	0.087398625	0.049881808
Valeic_acid	g__Veillonellaceae_UCG.001	-0.08842085	0.08842085	0.049981626
Isobutyic_acid	g__Christensenellaceae_R.7_group	0.086568326	0.086568326	0.051405783
Acetic_Popionic_ratio	g__Lachnospiraceae_AC2044_group	-0.086444346	0.086444346	0.051741738
Total_VFAs	g__Oscillospiraceae_V9D2013_group	-0.08693739	0.08693739	0.052754293
Total_VFAs	g__Lachnospiraceae_ND3007_group	0.087625822	0.087625822	0.053794221
Acetic_acid	g__Lachnoclostridium	0.084937567	0.084937567	0.055973142
Butyic_acid	g__Oscillospiraceae_V9D2013_group	-0.085560493	0.085560493	0.056632536
Acetic_acid	g__Oscillospirales_unclassified1	0.092994842	0.092994842	0.057171986
Isovaleic_acid	g__Lachnospiraceae_XPB1014_group	0.083987746	0.083987746	0.062943928
Popionic_acid	g__Oscillospiraceae_UCG.005	-0.082585739	0.082585739	0.063149093
Acetic_Popionic_ratio	g__Clostridia_unclassified	0.084834445	0.084834445	0.063848075
Popionic_acid	g__Prevotellaceae_UCG.001	0.082223501	0.082223501	0.064318976
Popionic_acid	g__Veillonellaceae_UCG.001	-0.08336633	0.08336633	0.064650317
Popionic_acid	g__Marinilabiliaceae_unclassified	-0.084082649	0.084082649	0.065395853
Isobutyic_acid	g__Sphaerochaeta	-0.085540757	0.085540757	0.06562012
Acetic_Popionic_ratio	g__Moryella	-0.08306409	0.08306409	0.066461754
Acetic_Popionic_ratio	g__Prevotellaceae_UCG.003	-0.081520208	0.081520208	0.066641272
Butyic_acid	g__Ruminococcaceae_unclassified1	-0.081175554	0.081175554	0.06780422
Isobutyic_acid	g__Lachnospiraceae_NK3A20_group	-0.081328397	0.081328397	0.068105601
Acetic_Popionic_ratio	g__Lachnoclostridium	0.080797528	0.080797528	0.069098856
Acetic_Popionic_ratio	g__Prevotellaceae_UCG.001	-0.07956593	0.07956593	0.073457828
Acetic_Popionic_ratio	g__Oscillospirales_unclassified1	0.08733405	0.08733405	0.074138727
Valeic_acid	g__Bacteroidetes_BD2.2	-0.090221981	0.090221981	0.078206783
Total_VFAs	g__Clostridia_vadinBB60_group	0.080016954	0.080016954	0.078949383
Acetic_Popionic_ratio	g__Oscillospiraceae_UCG.005	0.077193661	0.077193661	0.082485187
Popionic_acid	g__Bacteroidales_UCG.001	-0.076953746	0.076953746	0.083446042
Valeic_acid	g__Clostridia_unclassified	0.079006113	0.079006113	0.084436892
Valeic_acid	g__.Eubacterium._ruminantium_group	-0.077146227	0.077146227	0.08546406
Butyic_acid	g__Lachnospiraceae_UCG.006	-0.081746648	0.081746648	0.087487526
Acetic_acid	g__Alloprevotella	-0.084153803	0.084153803	0.089184974
Acetic_Popionic_ratio	g__Marinilabiliaceae_unclassified	0.076726188	0.076726188	0.09279461
Valeic_acid	g__Anaeroplasma	-0.082860764	0.082860764	0.093823903
Popionic_acid	g__Lachnoclostridium	-0.074275131	0.074275131	0.094799114
Acetic_Popionic_ratio	g__Veillonellaceae_UCG.001	0.075339195	0.075339195	0.095072502
Butyic_acid	g__Prevotellaceae_UCG.004	-0.07428813	0.07428813	0.095728179
Popionic_acid	g__.Eubacterium._ventriosum_group	0.075226301	0.075226301	0.100085952
Popionic_acid	g__Clostridia_unclassified	-0.075195973	0.075195973	0.100580374
Acetic_Popionic_ratio	g__Lachnospiraceae_ND3007_group	0.074358191	0.074358191	0.101921516
Popionic_acid	g__Sphaerochaeta	-0.075263679	0.075263679	0.105414244
Total_VFAs	g__Muribaculaceae	-0.072081701	0.072081701	0.105678583
Acetic_Popionic_ratio	g__Sphaerochaeta	0.07512506	0.07512506	0.106059096
Valeic_acid	g__Lachnospiraceae_AC2044_group	-0.071416687	0.071416687	0.108241507
Popionic_acid	g__Ruminococcaceae_CAG.352	-0.071125923	0.071125923	0.112183349
